Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
vasectomy;Urology;"Scrotal Bleeding & Bruising (Minor bleeding or localized bruising during the procedure); Mild Discomfort or Pain (Manageable pressure or aching during local anesthesia injection or vas isolation); Vas Deferens Injury or Difficulty (Technical difficulty locating or isolating the vas deferens tubes); Anesthetic Reaction (Mild reaction or temporary sensitivity to local numbing medication)";"Scrotal Hematoma (A collection of blood inside the scrotum causing swelling or discomfort); Local Wound Infection (Minor bacterial infection or redness around the small skin puncture or incision); Infection of the Epididymis (Epididymitis) (Inflammation or soreness in the coiled tube behind the testicle); Temporary Swelling & Pain (Mild scrotal tightness or swelling managed with rest and ice packs)";"Post-Vasectomy Pain Syndrome (PVPS) (Rare, ongoing dull ache or discomfort in the testicles or scrotum months after surgery); Sperm Granuloma (A harmless, small lump caused by leaked sperm that usually resolves on its own); Primary Failure or Recanalization (Unintended reconnecting of the vas deferens tubes leading to persistent sperm in semen); Anti-Sperm Antibodies (The body forming immune proteins against sperm, which generally has no physical symptoms); Emotional & Psychological Adaptation (Adjusting to permanent sterility or anxiety regarding effectiveness)"
cataract surgery;Ophthalmology;"Lens Capsule Tear (A tear in the lens capsule during surgery)";"Cloudy Lens (Posterior Capsule Opacification); Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery); Lens Piece Falls Back (A piece of the lens falls into the back of the eye); Corneal Swelling (Edema); Eye Infection (Endophthalmitis); Retinal Detachment (The light-sensitive layer at the back of the eye pulls away); Glaucoma (Increased pressure in the eye that can damage the nerve)";
hysterectomy;Gynecology;"Vaginal Bleeding (Light bleeding or discharge from the vagina after surgery); Bladder Irritation (Accidental minor damage to the bladder during surgery)";"Surgical Pain (Abdominal or pelvic discomfort after surgery); Constipation or Bloating (Temporary sluggishness of the bowels); Ureter Tube Injury (Damage to the tubes connecting kidneys to bladder); Bowel Irritation (Accidental minor damage to the intestines); Vaginal Opening Reopening (The vaginal cuff opens up after surgery); Pelvic Infection (Abscess); Blood Clots in Legs or Lungs (Deep vein clots or clots traveling to lungs)";
rhinoplasty;Plastic Surgery;;"Stuffy Nose (Temporary stuffiness or blockage after surgery); Swelling and Bruising (Expected swelling and bruising of the nose and face); Headache (Tension headache from facial swelling); Nosebleeds (Bleeding from the nose that may need treatment); Hole in Nasal Septum (A small hole in the wall between nostrils); Uneven Nose Shape (Nose appears uneven and may need correction); Skin Tissue Death (Skin tissue dies due to poor blood supply); Brain Fluid Leak (Leak of fluid that surrounds the brain)";
spinal fusion;General Surgery;"Muscle Spasms (Back muscles tighten and spasm during recovery)";"Incision Pain (Pain at the surgical cut site on the back); Temporary Numbness (Numbness in the back, arms, or legs); Bones Not Fusing (The vertebrae do not join together properly); Wear on Nearby Joints (Extra stress on joints above or below the fusion); Nerve Damage (Permanent injury to nerves causing weakness or numbness); Spinal Fluid Leak (Tear in the spinal sac causing fluid to leak); Deep Infection (Infection in the wound or bone that needs treatment)";"Hardware Problems (Screws or rods may loosen or break over time)"
tonsillectomy;Otolaryngology;"Bleeding from Throat (Bleeding from the tonsil area that needs treatment); Severe Bleeding (Life-threatening bleeding needing emergency surgery)";"Throat Pain (Severe sore throat for 1-2 weeks after surgery); Ear Pain (Pain felt in the ears after throat surgery); Voice Changes (Temporary change in how your voice sounds); Dehydration (Difficulty swallowing leads to not enough fluids); Breathing Blockage (Swelling blocks the airway making it hard to breathe)";"Nasal Speech (Voice sounds nasal due to palate issues)"
appendectomy;General Surgery & Gastrointestinal;"Heavy Bleeding (Significant internal bleeding needing treatment)";"Wound Infection (Infection at the surgical cut site); Abdominal Pain (Pain in the belly area after surgery); Nausea (Feeling sick after anesthesia); Pus Collection (Abscess); Bowel Blockage (Blockage caused by scar tissue); Appendix Stump Inflammation (Inflammation of the remaining appendix tissue); Bowel Connection Leak (Leakage from where the bowel was reconnected)";
knee replacement;General Surgery;"Bone Fracture (Bone breaks during or after surgery)";"Joint Infection (Infection in the new joint needing antibiotics or surgery); Blood Clots (Clots in the legs or traveling to the lungs); Pain and Stiffness (Pain and stiffness after surgery); Stiffness (Limited ability to bend the knee); Nerve Damage (Nerve injury causing foot weakness or numbness)";"Implant Loosening (The artificial joint becomes loose over time)"
tracheostomy;Otolaryngology;"Bleeding (Minor bleeding from the stoma); Major Bleeding (Significant bleeding from tracheal vessels)";"Tube Blockage (Mucus blocks the breathing tube); Infection (Infection around the stoma site); Granulation Tissue (Excess tissue growth around the stoma); Tube Displacement (Tube moves out of position); Pneumothorax (Collapsed lung from air leak)";"Tracheal Stenosis (Narrowing of the windpipe over time, which can make breathing harder)"
rhinectomy;Otolaryngology;"Bleeding (Nosebleeds after surgery)";"Pain (Surgical site discomfort); Swelling (Facial swelling after surgery); Infection (Surgical site infection); Nasal Deformity (Permanent change to nose appearance); Tear Duct Damage (Damage to tear drainage system); CSF Leak (Leak of brain fluid)";
